entidad_a,enticve1,rnsnni1,traslatt,trasla1,trasla2
1,01,1,195,0,195
2,02,1,14500,14500,0
3,03,1,3,1,2
4,04,1,21,1,20
5,05,1,614,598,16
6,06,1,63,47,16
7,07,1,3262,2983,279
8,08,1,502,171,331
9,09,1,7786,100,7686
10,10,1,103,103,0
11,11,1,697,697,0
12,12,1,151,28,123
13,13,1,169,1,168
14,14,1,39929,39929,0
15,15,1,10778,9592,1186
16,16,1,341,21,320
17,17,1,449,5,444
18,18,1,7,3,4
19,19,1,763,0,763
20,20,1,99,46,53
21,21,1,735,4,731
22,22,1,21,1,20
23,23,1,210,0,210
24,24,1,211,1,210
25,25,1,23,13,10
26,26,1,327,152,175
27,27,1,122,0,122
28,28,1,114,114,0
29,29,1,67,2,65
30,30,1,34051,8,34043
31,31,1,5547,526,5021
32,32,1,184,54,130
