entidad_a,enticve1,motitras_b,traslatt,trasla1,trasla2
1,01,1,0,0,0
1,01,2,195,0,195
1,01,3,0,0,0
1,01,4,0,0,0
1,01,5,0,0,0
1,01,6,0,0,0
1,01,7,0,0,0
1,01,8,0,0,0
2,02,1,0,0,0
2,02,2,0,0,0
2,02,3,14500,14500,0
2,02,4,0,0,0
2,02,5,0,0,0
2,02,6,0,0,0
2,02,7,0,0,0
2,02,8,0,0,0
3,03,1,1,1,0
3,03,2,1,0,1
3,03,3,0,0,0
3,03,4,1,0,1
3,03,5,0,0,0
3,03,6,0,0,0
3,03,7,0,0,0
3,03,8,0,0,0
4,04,1,19,0,19
4,04,2,1,0,1
4,04,3,0,0,0
4,04,4,0,0,0
4,04,5,0,0,0
4,04,6,0,0,0
4,04,7,0,0,0
4,04,8,1,1,0
5,05,1,598,598,0
5,05,2,16,0,16
5,05,3,0,0,0
5,05,4,0,0,0
5,05,5,0,0,0
5,05,6,0,0,0
5,05,7,0,0,0
5,05,8,0,0,0
6,06,1,36,36,0
6,06,2,24,8,16
6,06,3,0,0,0
6,06,4,0,0,0
6,06,5,2,2,0
6,06,6,0,0,0
6,06,7,1,1,0
6,06,8,0,0,0
7,07,1,250,94,156
7,07,2,100,0,100
7,07,3,768,768,0
7,07,4,2117,2117,0
7,07,5,0,0,0
7,07,6,4,0,4
7,07,7,23,4,19
7,07,8,0,0,0
8,08,1,88,88,0
8,08,2,294,60,234
8,08,3,0,0,0
8,08,4,20,0,20
8,08,5,77,0,77
8,08,6,0,0,0
8,08,7,0,0,0
8,08,8,23,23,0
9,09,1,751,100,651
9,09,2,1000,0,1000
9,09,3,800,0,800
9,09,4,1235,0,1235
9,09,5,4000,0,4000
9,09,6,0,0,0
9,09,7,0,0,0
9,09,8,0,0,0
10,10,1,7,7,0
10,10,2,0,0,0
10,10,3,96,96,0
10,10,4,0,0,0
10,10,5,0,0,0
10,10,6,0,0,0
10,10,7,0,0,0
10,10,8,0,0,0
11,11,1,395,395,0
11,11,2,29,29,0
11,11,3,267,267,0
11,11,4,4,4,0
11,11,5,2,2,0
11,11,6,0,0,0
11,11,7,0,0,0
11,11,8,0,0,0
12,12,1,20,20,0
12,12,2,120,7,113
12,12,3,1,1,0
12,12,4,0,0,0
12,12,5,8,0,8
12,12,6,0,0,0
12,12,7,0,0,0
12,12,8,2,0,2
13,13,1,0,0,0
13,13,2,159,0,159
13,13,3,0,0,0
13,13,4,3,1,2
13,13,5,4,0,4
13,13,6,0,0,0
13,13,7,0,0,0
13,13,8,3,0,3
14,14,1,0,0,0
14,14,2,794,794,0
14,14,3,0,0,0
14,14,4,7265,7265,0
14,14,5,20881,20881,0
14,14,6,0,0,0
14,14,7,2521,2521,0
14,14,8,8468,8468,0
15,15,1,0,0,0
15,15,2,867,0,867
15,15,3,0,0,0
15,15,4,6459,6459,0
15,15,5,2727,2727,0
15,15,6,0,0,0
15,15,7,406,406,0
15,15,8,319,0,319
16,16,1,0,0,0
16,16,2,341,21,320
16,16,3,0,0,0
16,16,4,0,0,0
16,16,5,0,0,0
16,16,6,0,0,0
16,16,7,0,0,0
16,16,8,0,0,0
17,17,1,5,5,0
17,17,2,80,0,80
17,17,3,149,0,149
17,17,4,213,0,213
17,17,5,0,0,0
17,17,6,0,0,0
17,17,7,0,0,0
17,17,8,2,0,2
18,18,1,3,3,0
18,18,2,4,0,4
18,18,3,0,0,0
18,18,4,0,0,0
18,18,5,0,0,0
18,18,6,0,0,0
18,18,7,0,0,0
18,18,8,0,0,0
19,19,1,0,0,0
19,19,2,6,0,6
19,19,3,757,0,757
19,19,4,0,0,0
19,19,5,0,0,0
19,19,6,0,0,0
19,19,7,0,0,0
19,19,8,0,0,0
20,20,1,38,38,0
20,20,2,39,0,39
20,20,3,0,0,0
20,20,4,8,6,2
20,20,5,14,2,12
20,20,6,0,0,0
20,20,7,0,0,0
20,20,8,0,0,0
21,21,1,9,4,5
21,21,2,58,0,58
21,21,3,649,0,649
21,21,4,3,0,3
21,21,5,0,0,0
21,21,6,0,0,0
21,21,7,0,0,0
21,21,8,16,0,16
22,22,1,1,1,0
22,22,2,20,0,20
22,22,3,0,0,0
22,22,4,0,0,0
22,22,5,0,0,0
22,22,6,0,0,0
22,22,7,0,0,0
22,22,8,0,0,0
23,23,1,0,0,0
23,23,2,180,0,180
23,23,3,0,0,0
23,23,4,0,0,0
23,23,5,30,0,30
23,23,6,0,0,0
23,23,7,0,0,0
23,23,8,0,0,0
24,24,1,0,0,0
24,24,2,211,1,210
24,24,3,0,0,0
24,24,4,0,0,0
24,24,5,0,0,0
24,24,6,0,0,0
24,24,7,0,0,0
24,24,8,0,0,0
25,25,1,2,2,0
25,25,2,12,10,2
25,25,3,7,0,7
25,25,4,1,1,0
25,25,5,1,0,1
25,25,6,0,0,0
25,25,7,0,0,0
25,25,8,0,0,0
26,26,1,24,24,0
26,26,2,175,0,175
26,26,3,0,0,0
26,26,4,128,128,0
26,26,5,0,0,0
26,26,6,0,0,0
26,26,7,0,0,0
26,26,8,0,0,0
27,27,1,0,0,0
27,27,2,122,0,122
27,27,3,0,0,0
27,27,4,0,0,0
27,27,5,0,0,0
27,27,6,0,0,0
27,27,7,0,0,0
27,27,8,0,0,0
28,28,1,0,0,0
28,28,2,114,114,0
28,28,3,0,0,0
28,28,4,0,0,0
28,28,5,0,0,0
28,28,6,0,0,0
28,28,7,0,0,0
28,28,8,0,0,0
29,29,1,2,2,0
29,29,2,31,0,31
29,29,3,33,0,33
29,29,4,0,0,0
29,29,5,0,0,0
29,29,6,0,0,0
29,29,7,0,0,0
29,29,8,1,0,1
30,30,1,8,8,0
30,30,2,299,0,299
30,30,3,240,0,240
30,30,4,4107,0,4107
30,30,5,29397,0,29397
30,30,6,0,0,0
30,30,7,0,0,0
30,30,8,0,0,0
31,31,1,1,1,0
31,31,2,0,0,0
31,31,3,0,0,0
31,31,4,1624,518,1106
31,31,5,3915,0,3915
31,31,6,7,7,0
31,31,7,0,0,0
31,31,8,0,0,0
32,32,1,54,54,0
32,32,2,130,0,130
32,32,3,0,0,0
32,32,4,0,0,0
32,32,5,0,0,0
32,32,6,0,0,0
32,32,7,0,0,0
32,32,8,0,0,0
