entidad_a,enticve1,traslado_b,rnsnni1,trainctt,trainc1,trainc2,trainc3,trainc4,trainc5,trainc6
1,01,1,2,NA,NA,NA,NA,NA,NA,NA
1,01,2,2,NA,NA,NA,NA,NA,NA,NA
2,02,1,2,NA,NA,NA,NA,NA,NA,NA
2,02,2,2,NA,NA,NA,NA,NA,NA,NA
3,03,1,2,NA,NA,NA,NA,NA,NA,NA
3,03,2,2,NA,NA,NA,NA,NA,NA,NA
4,04,1,2,NA,NA,NA,NA,NA,NA,NA
4,04,2,2,NA,NA,NA,NA,NA,NA,NA
5,05,1,2,NA,NA,NA,NA,NA,NA,NA
5,05,2,2,NA,NA,NA,NA,NA,NA,NA
6,06,1,2,NA,NA,NA,NA,NA,NA,NA
6,06,2,2,NA,NA,NA,NA,NA,NA,NA
7,07,1,2,NA,NA,NA,NA,NA,NA,NA
7,07,2,2,NA,NA,NA,NA,NA,NA,NA
8,08,1,2,NA,NA,NA,NA,NA,NA,NA
8,08,2,2,NA,NA,NA,NA,NA,NA,NA
9,09,1,2,NA,NA,NA,NA,NA,NA,NA
9,09,2,2,NA,NA,NA,NA,NA,NA,NA
10,10,1,2,NA,NA,NA,NA,NA,NA,NA
10,10,2,2,NA,NA,NA,NA,NA,NA,NA
11,11,1,2,NA,NA,NA,NA,NA,NA,NA
11,11,2,2,NA,NA,NA,NA,NA,NA,NA
12,12,1,2,NA,NA,NA,NA,NA,NA,NA
12,12,2,2,NA,NA,NA,NA,NA,NA,NA
13,13,1,2,NA,NA,NA,NA,NA,NA,NA
13,13,2,2,NA,NA,NA,NA,NA,NA,NA
14,14,1,2,NA,NA,NA,NA,NA,NA,NA
14,14,2,2,NA,NA,NA,NA,NA,NA,NA
15,15,1,2,NA,NA,NA,NA,NA,NA,NA
15,15,2,2,NA,NA,NA,NA,NA,NA,NA
16,16,1,2,NA,NA,NA,NA,NA,NA,NA
16,16,2,2,NA,NA,NA,NA,NA,NA,NA
17,17,1,2,NA,NA,NA,NA,NA,NA,NA
17,17,2,2,NA,NA,NA,NA,NA,NA,NA
18,18,1,2,NA,NA,NA,NA,NA,NA,NA
18,18,2,2,NA,NA,NA,NA,NA,NA,NA
19,19,1,2,NA,NA,NA,NA,NA,NA,NA
19,19,2,2,NA,NA,NA,NA,NA,NA,NA
20,20,1,2,NA,NA,NA,NA,NA,NA,NA
20,20,2,2,NA,NA,NA,NA,NA,NA,NA
21,21,1,2,NA,NA,NA,NA,NA,NA,NA
21,21,2,2,NA,NA,NA,NA,NA,NA,NA
22,22,1,2,NA,NA,NA,NA,NA,NA,NA
22,22,2,2,NA,NA,NA,NA,NA,NA,NA
23,23,1,2,NA,NA,NA,NA,NA,NA,NA
23,23,2,2,NA,NA,NA,NA,NA,NA,NA
24,24,1,2,NA,NA,NA,NA,NA,NA,NA
24,24,2,2,NA,NA,NA,NA,NA,NA,NA
25,25,1,2,NA,NA,NA,NA,NA,NA,NA
25,25,2,2,NA,NA,NA,NA,NA,NA,NA
26,26,1,2,NA,NA,NA,NA,NA,NA,NA
26,26,2,2,NA,NA,NA,NA,NA,NA,NA
27,27,1,2,NA,NA,NA,NA,NA,NA,NA
27,27,2,2,NA,NA,NA,NA,NA,NA,NA
28,28,1,2,NA,NA,NA,NA,NA,NA,NA
28,28,2,2,NA,NA,NA,NA,NA,NA,NA
29,29,1,2,NA,NA,NA,NA,NA,NA,NA
29,29,2,2,NA,NA,NA,NA,NA,NA,NA
30,30,1,2,NA,NA,NA,NA,NA,NA,NA
30,30,2,2,NA,NA,NA,NA,NA,NA,NA
31,31,1,2,NA,NA,NA,NA,NA,NA,NA
31,31,2,2,NA,NA,NA,NA,NA,NA,NA
32,32,1,2,NA,NA,NA,NA,NA,NA,NA
32,32,2,2,NA,NA,NA,NA,NA,NA,NA
