entidad_a,enticve1,capaises_c,totalca1
1,01,1,0
1,01,2,0
1,01,3,0
1,01,4,0
1,01,5,0
1,01,6,0
1,01,7,0
1,01,8,0
1,01,9,0
1,01,10,0
1,01,11,0
1,01,12,0
1,01,13,0
1,01,14,0
1,01,15,0
1,01,16,0
1,01,17,0
1,01,18,0
1,01,19,0
1,01,20,0
1,01,21,0
1,01,22,0
1,01,23,0
1,01,24,0
1,01,25,0
1,01,26,0
1,01,27,0
1,01,28,0
1,01,29,0
1,01,30,0
1,01,31,0
1,01,32,0
1,01,33,0
1,01,34,0
1,01,99,
2,02,1,0
2,02,2,0
2,02,3,0
2,02,4,0
2,02,5,0
2,02,6,0
2,02,7,0
2,02,8,0
2,02,9,0
2,02,10,0
2,02,11,0
2,02,12,0
2,02,13,0
2,02,14,0
2,02,15,0
2,02,16,0
2,02,17,0
2,02,18,0
2,02,19,0
2,02,20,0
2,02,21,0
2,02,22,0
2,02,23,0
2,02,24,0
2,02,25,0
2,02,26,0
2,02,27,0
2,02,28,0
2,02,29,0
2,02,30,0
2,02,31,0
2,02,32,0
2,02,33,0
2,02,34,0
2,02,99,
3,03,1,0
3,03,2,0
3,03,3,0
3,03,4,0
3,03,5,0
3,03,6,0
3,03,7,0
3,03,8,0
3,03,9,0
3,03,10,0
3,03,11,0
3,03,12,0
3,03,13,0
3,03,14,0
3,03,15,0
3,03,16,0
3,03,17,0
3,03,18,0
3,03,19,0
3,03,20,0
3,03,21,0
3,03,22,0
3,03,23,0
3,03,24,0
3,03,25,0
3,03,26,0
3,03,27,0
3,03,28,0
3,03,29,0
3,03,30,0
3,03,31,0
3,03,32,0
3,03,33,0
3,03,34,0
3,03,99,
4,04,1,0
4,04,2,0
4,04,3,0
4,04,4,0
4,04,5,0
4,04,6,0
4,04,7,0
4,04,8,0
4,04,9,0
4,04,10,0
4,04,11,0
4,04,12,0
4,04,13,0
4,04,14,0
4,04,15,0
4,04,16,0
4,04,17,0
4,04,18,0
4,04,19,0
4,04,20,0
4,04,21,0
4,04,22,0
4,04,23,0
4,04,24,0
4,04,25,0
4,04,26,0
4,04,27,0
4,04,28,0
4,04,29,0
4,04,30,0
4,04,31,0
4,04,32,0
4,04,33,0
4,04,34,0
4,04,99,
5,05,1,0
5,05,2,0
5,05,3,0
5,05,4,0
5,05,5,0
5,05,6,0
5,05,7,0
5,05,8,0
5,05,9,0
5,05,10,0
5,05,11,0
5,05,12,0
5,05,13,0
5,05,14,0
5,05,15,0
5,05,16,0
5,05,17,0
5,05,18,0
5,05,19,0
5,05,20,0
5,05,21,0
5,05,22,0
5,05,23,0
5,05,24,0
5,05,25,0
5,05,26,0
5,05,27,0
5,05,28,0
5,05,29,0
5,05,30,0
5,05,31,0
5,05,32,0
5,05,33,0
5,05,34,0
5,05,99,
6,06,1,0
6,06,2,0
6,06,3,0
6,06,4,0
6,06,5,0
6,06,6,0
6,06,7,0
6,06,8,0
6,06,9,0
6,06,10,0
