mes,centro,tipo,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60+,total
2026-01,CEFEREPSI,Publico,2,8,27,27,23,17,22,17,10,153
2026-01,CEFERESO No. 1 Altiplano,Publico,18,42,85,91,102,96,75,45,67,621
2026-01,CEFERESO No. 11 CPS Sonora,Privado (CPS),375,353,353,377,265,230,153,129,48,2283
2026-01,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),172,292,428,413,330,245,134,82,65,2161
2026-01,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),66,249,415,427,343,260,146,89,81,2076
2026-01,CEFERESO No. 14 CPS Durango,Privado (CPS),44,154,404,505,433,316,200,128,84,2268
2026-01,CEFERESO No. 15 CPS Chiapas,Privado (CPS),48,198,359,377,337,233,111,78,51,1792
2026-01,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),20,55,145,138,107,86,56,33,37,677
2026-01,CEFERESO No. 17 CPS Michoacan,Privado (CPS),125,232,348,366,351,200,161,84,53,1920
2026-01,CEFERESO No. 18 CPS Coahuila,Privado (CPS),50,227,400,442,358,222,145,72,62,1978
2026-01,CEFERESO No. 4 Noroeste,Publico,67,199,436,460,375,289,204,122,84,2236
2026-01,CEFERESO No. 5 Oriente,Publico,37,144,299,291,233,174,109,54,36,1377
2026-01,CEFERESO No. 7 Nor-Noroeste,Publico,23,53,60,56,43,36,25,9,6,311
2026-01,CEFERESO No. 8 Nor-Poniente,Publico,82,80,109,80,89,73,56,38,27,634
2026-02,CEFEREPSI,Publico,2,9,29,28,23,17,21,17,11,157
2026-02,CEFERESO No. 1 Altiplano,Publico,16,38,81,88,95,94,72,43,68,595
2026-02,CEFERESO No. 11 CPS Sonora,Privado (CPS),375,350,354,367,269,231,152,129,48,2275
2026-02,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),167,304,423,418,332,246,132,82,64,2168
2026-02,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),68,244,408,429,338,258,150,89,81,2065
2026-02,CEFERESO No. 14 CPS Durango,Privado (CPS),44,149,403,502,438,312,202,130,83,2263
2026-02,CEFERESO No. 15 CPS Chiapas,Privado (CPS),46,199,351,371,337,229,113,78,52,1776
2026-02,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),18,53,144,138,102,82,56,34,37,664
2026-02,CEFERESO No. 17 CPS Michoacan,Privado (CPS),119,236,351,366,357,199,160,82,54,1924
2026-02,CEFERESO No. 18 CPS Coahuila,Privado (CPS),57,238,410,444,359,227,151,74,64,2024
2026-02,CEFERESO No. 4 Noroeste,Publico,67,197,436,460,376,291,206,120,83,2236
2026-02,CEFERESO No. 5 Oriente,Publico,35,144,296,300,234,178,114,55,37,1393
2026-02,CEFERESO No. 7 Nor-Noroeste,Publico,32,54,64,54,48,38,25,9,6,330
2026-02,CEFERESO No. 8 Nor-Poniente,Publico,102,93,121,92,89,79,57,41,27,701
2026-03,CEFEREPSI,Publico,2,9,28,27,24,17,21,17,11,156
2026-03,CEFERESO No. 1 Altiplano,Publico,18,40,79,91,105,95,77,45,69,619
2026-03,CEFERESO No. 11 CPS Sonora,Privado (CPS),375,341,358,360,268,236,151,131,48,2268
2026-03,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),174,305,431,416,344,239,140,79,66,2194
2026-03,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),73,245,405,425,344,255,159,89,82,2077
2026-03,CEFERESO No. 14 CPS Durango,Privado (CPS),44,144,402,495,439,316,203,130,84,2257
2026-03,CEFERESO No. 15 CPS Chiapas,Privado (CPS),45,193,352,372,339,225,115,80,52,1773
2026-03,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),18,51,135,138,100,82,56,33,38,651
2026-03,CEFERESO No. 17 CPS Michoacan,Privado (CPS),123,240,364,371,364,209,166,83,55,1975
2026-03,CEFERESO No. 18 CPS Coahuila,Privado (CPS),63,233,410,440,365,226,155,72,62,2026
2026-03,CEFERESO No. 4 Noroeste,Publico,74,196,437,460,378,295,205,118,87,2250
2026-03,CEFERESO No. 5 Oriente,Publico,35,141,288,303,236,172,113,55,37,1380
2026-03,CEFERESO No. 7 Nor-Noroeste,Publico,38,60,66,53,49,38,25,9,7,345
2026-03,CEFERESO No. 8 Nor-Poniente,Publico,132,101,131,98,95,84,57,39,29,766
2026-04,CEFEREPSI,Publico,2,9,29,30,23,18,24,17,11,163
2026-04,CEFERESO No. 1 Altiplano,Publico,18,37,83,93,104,99,77,46,71,628
2026-04,CEFERESO No. 11 CPS Sonora,Privado (CPS),375,340,352,343,256,228,148,131,48,2221
2026-04,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),174,311,430,418,340,239,140,79,66,2197
2026-04,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),81,244,403,422,340,254,160,93,82,2079
2026-04,CEFERESO No. 14 CPS Durango,Privado (CPS),41,140,402,489,437,318,203,133,83,2246
2026-04,CEFERESO No. 15 CPS Chiapas,Privado (CPS),44,187,358,371,334,225,113,78,52,1762
