mes,centro,tipo,incidencia,incidencias,personas_involucradas,personas_heridas
2026-01,CEFEREPSI,Publico,Agresiones a Terceros,5.0,5.0,0.0
2026-01,CEFERESO No. 1 Altiplano,Publico,Agresiones a Terceros,4.0,4.0,0.0
2026-01,CEFERESO No. 14 CPS Durango,Privado (CPS),Agresiones a Terceros,2.0,3.0,0.0
2026-01,CEFERESO No. 15 CPS Chiapas,Privado (CPS),Agresiones a Terceros,2.0,17.0,0.0
2026-01,CEFERESO No. 17 CPS Michoacan,Privado (CPS),Agresiones a Terceros,7.0,23.0,0.0
2026-01,CEFERESO No. 18 CPS Coahuila,Privado (CPS),Agresiones a Terceros,3.0,8.0,0.0
2026-01,CEFERESO No. 5 Oriente,Publico,Agresiones a Terceros,1.0,1.0,0.0
2026-01,CEFERESO No. 7 Nor-Noroeste,Publico,Agresiones a Terceros,1.0,3.0,0.0
2026-01,CEFEREPSI,Publico,Autoagresiones,1.0,1.0,0.0
2026-01,CEFERESO No. 14 CPS Durango,Privado (CPS),Autoagresiones,3.0,3.0,0.0
2026-01,CEFERESO No. 1 Altiplano,Publico,Decesos por muerte natural o enfermedad,1.0,1.0,0.0
2026-01,CEFERESO No. 14 CPS Durango,Privado (CPS),Decesos por muerte natural o enfermedad,2.0,2.0,0.0
2026-01,CEFERESO No. 18 CPS Coahuila,Privado (CPS),Decesos por muerte natural o enfermedad,1.0,1.0,0.0
2026-01,CEFERESO No. 5 Oriente,Publico,Decesos por muerte natural o enfermedad,1.0,1.0,0.0
2026-01,CEFERESO No. 17 CPS Michoacan,Privado (CPS),Intentos de Homicidio,1.0,1.0,0.0
2026-01,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Intentos de Suicidio,1.0,1.0,0.0
2026-01,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Riñas,3.0,9.0,3.0
2026-01,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),Riñas,1.0,5.0,2.0
