mes,centro,tipo,ingresos_total,egresos_total
2026-01,CEFEREPSI,Publico,0,1
2026-01,CEFERESO No. 1 Altiplano,Publico,21,12
2026-01,CEFERESO No. 11 CPS Sonora,Privado (CPS),36,26
2026-01,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),41,30
2026-01,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),42,24
2026-01,CEFERESO No. 14 CPS Durango,Privado (CPS),4,12
2026-01,CEFERESO No. 15 CPS Chiapas,Privado (CPS),30,9
2026-01,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),7,9
2026-01,CEFERESO No. 17 CPS Michoacan,Privado (CPS),86,10
2026-01,CEFERESO No. 18 CPS Coahuila,Privado (CPS),18,23
2026-01,CEFERESO No. 4 Noroeste,Publico,25,13
2026-01,CEFERESO No. 5 Oriente,Publico,3,16
2026-01,CEFERESO No. 7 Nor-Noroeste,Publico,4,2
2026-01,CEFERESO No. 8 Nor-Poniente,Publico,45,99
2026-02,CEFEREPSI,Publico,4,0
2026-02,CEFERESO No. 1 Altiplano,Publico,15,41
2026-02,CEFERESO No. 11 CPS Sonora,Privado (CPS),42,50
2026-02,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),36,29
2026-02,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),30,41
2026-02,CEFERESO No. 14 CPS Durango,Privado (CPS),1,6
2026-02,CEFERESO No. 15 CPS Chiapas,Privado (CPS),5,21
2026-02,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),5,18
2026-02,CEFERESO No. 17 CPS Michoacan,Privado (CPS),75,71
2026-02,CEFERESO No. 18 CPS Coahuila,Privado (CPS),64,18
2026-02,CEFERESO No. 4 Noroeste,Publico,18,18
2026-02,CEFERESO No. 5 Oriente,Publico,28,12
2026-02,CEFERESO No. 7 Nor-Noroeste,Publico,24,5
2026-02,CEFERESO No. 8 Nor-Poniente,Publico,71,4
2026-03,CEFEREPSI,Publico,0,1
2026-03,CEFERESO No. 1 Altiplano,Publico,30,6
2026-03,CEFERESO No. 11 CPS Sonora,Privado (CPS),25,32
2026-03,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),65,39
2026-03,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),43,31
2026-03,CEFERESO No. 14 CPS Durango,Privado (CPS),6,12
2026-03,CEFERESO No. 15 CPS Chiapas,Privado (CPS),8,11
2026-03,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),5,18
2026-03,CEFERESO No. 17 CPS Michoacan,Privado (CPS),67,16
2026-03,CEFERESO No. 18 CPS Coahuila,Privado (CPS),53,51
2026-03,CEFERESO No. 4 Noroeste,Publico,35,21
2026-03,CEFERESO No. 5 Oriente,Publico,10,23
2026-03,CEFERESO No. 7 Nor-Noroeste,Publico,19,4
2026-03,CEFERESO No. 8 Nor-Poniente,Publico,83,18
2026-04,CEFEREPSI,Publico,7,0
2026-04,CEFERESO No. 1 Altiplano,Publico,11,2
2026-04,CEFERESO No. 11 CPS Sonora,Privado (CPS),25,72
2026-04,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),41,38
2026-04,CEFERESO No. 13 CPS Oaxaca,Privado (CPS),34,32
2026-04,CEFERESO No. 14 CPS Durango,Privado (CPS),0,11
2026-04,CEFERESO No. 15 CPS Chiapas,Privado (CPS),1,12
2026-04,CEFERESO No. 16 CPS Femenil Morelos,Privado (CPS),11,5
2026-04,CEFERESO No. 17 CPS Michoacan,Privado (CPS),100,18
2026-04,CEFERESO No. 18 CPS Coahuila,Privado (CPS),31,42
2026-04,CEFERESO No. 4 Noroeste,Publico,11,10
2026-04,CEFERESO No. 5 Oriente,Publico,87,11
2026-04,CEFERESO No. 7 Nor-Noroeste,Publico,1,7
2026-04,CEFERESO No. 8 Nor-Poniente,Publico,85,84
