mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Aguascalientes,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Baja California,0,0,1,0,11,0,2,0,14
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Baja California Sur,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Campeche,0,0,0,0,2,0,0,0,2
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Chiapas,0,0,1,0,5,0,1,0,7
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Chihuahua,0,0,5,0,18,0,8,0,31
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Ciudad de México,1,0,5,0,58,0,33,0,97
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Coahuila de Zaragoza,0,0,1,0,1,0,3,0,5
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Colima,0,0,2,0,1,0,0,0,3
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Durango,0,0,1,0,16,0,4,0,21
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Estado de México,0,0,5,0,32,0,18,0,55
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Guanajuato,0,0,3,0,5,0,1,0,9
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Guerrero,2,0,4,0,56,0,16,0,78
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Hidalgo,0,0,1,0,6,0,2,0,9
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Jalisco,1,0,2,0,25,0,11,0,39
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Michoacán de Ocampo,1,0,0,0,21,0,10,0,32
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Morelos,0,0,2,0,3,0,2,0,7
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Nayarit,0,0,0,0,4,0,0,0,4
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Nuevo León,0,0,2,0,3,0,2,0,7
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Oaxaca,1,0,0,0,8,0,1,0,10
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Puebla,0,0,1,0,7,0,4,0,12
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Querétaro,0,0,0,0,3,0,0,0,3
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Quintana Roo,1,0,0,0,0,0,0,0,1
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,San Luis Potosí,0,0,1,0,5,0,0,0,6
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Sinaloa,2,0,5,0,52,0,4,0,63
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Sonora,0,0,1,0,16,0,1,0,18
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Tabasco,0,0,1,0,3,0,0,0,4
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Tamaulipas,2,0,1,0,18,0,12,0,33
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Tlaxcala,0,0,0,0,2,0,0,0,2
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Veracruz de Ignacio de la Llave,1,0,3,0,22,0,6,0,32
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Yucatán,1,0,0,0,0,0,0,0,1
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Zacatecas,0,0,0,0,2,0,2,0,4
2026-03,Marzo 2026,CEFERESO No. 1 Altiplano,Publico,Extranjeros,0,0,1,0,8,0,1,0,10
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Aguascalientes,0,0,14,0,0,0,8,0,22
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Baja California,3,0,8,0,7,0,7,0,25
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Baja California Sur,1,0,0,0,0,0,0,0,1
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Campeche,0,0,3,0,0,0,1,0,4
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Chiapas,4,0,12,0,2,0,5,0,23
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Chihuahua,1,0,20,0,0,0,10,0,31
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Ciudad de México,14,0,112,0,42,0,51,0,219
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Coahuila de Zaragoza,3,0,48,0,5,0,12,0,68
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Colima,1,0,3,0,1,0,6,0,11
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Durango,1,0,10,0,4,0,7,0,22
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Estado de México,3,0,181,0,53,0,37,0,274
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Guanajuato,6,0,164,0,1,0,5,0,176
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Guerrero,4,0,40,0,35,0,35,0,114
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Hidalgo,1,0,23,0,2,0,3,0,29
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Jalisco,6,0,22,0,24,0,44,0,96
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Michoacán de Ocampo,2,0,36,0,10,0,38,0,86
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Morelos,3,0,10,0,5,0,10,0,28
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Nayarit,11,0,41,0,113,0,80,0,245
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Nuevo León,3,0,53,0,2,0,2,0,60
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Oaxaca,1,0,9,0,4,0,3,0,17
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Puebla,16,0,77,0,10,0,12,0,115
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Querétaro,0,0,13,0,2,0,0,0,15
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Quintana Roo,5,0,14,0,0,0,0,0,19
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,San Luis Potosí,5,0,16,0,0,0,1,0,22
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Sinaloa,5,0,20,0,31,0,30,0,86
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Sonora,6,0,49,0,3,0,9,0,67
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Tabasco,6,0,24,0,5,0,3,0,38
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Tamaulipas,23,0,39,0,24,0,37,0,123
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Tlaxcala,2,0,7,0,3,0,1,0,13
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Veracruz de Ignacio de la Llave,32,0,58,0,13,0,22,0,125
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Yucatán,2,0,9,0,1,0,0,0,12
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Zacatecas,1,0,21,0,2,0,3,0,27
2026-03,Marzo 2026,CEFERESO No. 4 Noroeste,Publico,Extranjeros,3,0,18,0,6,0,10,0,37
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Aguascalientes,1,0,10,0,0,0,0,0,11
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Baja California,2,0,7,0,1,0,1,0,11
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Baja California Sur,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Campeche,0,0,7,0,1,0,0,0,8
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Chiapas,2,0,21,0,4,0,2,0,29
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Chihuahua,1,0,13,0,7,0,5,0,26
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Ciudad de México,6,0,63,0,25,0,46,0,140
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Coahuila de Zaragoza,1,0,37,0,0,0,3,0,41
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Colima,1,0,3,0,0,0,5,0,9
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Durango,3,0,8,0,0,0,6,0,17
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Estado de México,3,0,98,0,25,0,20,0,146
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Guanajuato,4,0,74,0,1,0,3,0,82
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Guerrero,6,0,18,0,16,0,29,0,69
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Hidalgo,2,0,19,0,2,0,13,0,36
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Jalisco,8,0,15,0,1,0,11,0,35
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Michoacán de Ocampo,1,0,17,0,11,0,20,0,49
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Morelos,0,0,2,0,5,0,5,0,12
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Nayarit,0,0,3,0,0,0,1,0,4
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Nuevo León,2,0,20,0,1,0,3,0,26
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Oaxaca,2,0,8,0,2,0,6,0,18
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Puebla,8,0,20,0,10,0,28,0,66
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Querétaro,0,0,7,0,0,0,2,0,9
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Quintana Roo,2,0,17,0,0,0,3,0,22
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,San Luis Potosí,6,0,4,0,0,0,9,0,19
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Sinaloa,3,0,4,0,18,0,6,0,31
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Sonora,1,0,4,0,2,0,0,0,7
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Tabasco,5,0,18,0,4,0,4,0,31
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Tamaulipas,9,0,19,0,7,0,27,0,62
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Tlaxcala,0,0,3,0,13,0,22,0,38
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Veracruz de Ignacio de la Llave,38,0,56,0,30,0,124,0,248
