centpeni_a,descrip
1,Centro de Readaptación Social para hombres
2,Centro de Readaptación Social para mujeres
3,Centro de Readaptación Social mixto
4,Reclusorio para hombres
5,Reclusorio para mujeres
6,Reclusorio mixto
7,Penitenciaría para hombres
8,Penitenciaría para mujeres
9,Penitenciaría mixta
10,Cárcel para hombres
11,Cárcel para mujeres
12,Cárcel mixta
13,Centro de Ejecución de Sanciones Penales para hombres
14,Centro de Ejecución de Sanciones Penales para mujeres
15,Centro de Ejecución de Sanciones Penales mixto
16,Centro de alta seguridad para delitos de alto impacto
17,Otro tipo de centro penitenciario para hombres
18,Otro tipo de centro penitenciario para mujeres
19,Otro tipo de centro penitenciario mixto
99,No se sabe
