entidad_a,numeral,nombre1,centpeni_a,clascent_a,modarqui_a
1,1,CENTRO DE REINSERCION SOCIAL AGUASCALIENTES,1,2,5
1,2,CENTRO DE REINSERCION SOCIAL EL LLANO,1,2,5
1,3,CENTRO DE REINSERCION SOCIAL PARA MUJERES,2,2,5
1,4,CENTRO DE REINSERCION SOCIAL DE MINIMA SEGURIDAD,3,5,5
2,1,CENTRO DE REINSERCIÓN SOCIAL MEXICALI,3,2,9
2,2,CENTRO DE REINSERCIÓN SOCIAL TIJUANA,3,2,9
2,3,CENTRO DE REINSERCIÓN SOCIAL ENSENADA,3,2,9
2,4,CENTRO DE REINSERCIÓN SOCIAL EL HONGO,1,2,9
2,5,CENTRO DE REINSERCIÓN SOCIAL EL HONGO II,1,3,9
3,1,CENTRO PENITENCIARIO LA PAZ,3,3,5
3,2,CENTRO PENITENCIARIO SAN JOSÉ DEL CABO,1,3,5
3,3,CENTRO PENITENCIARIO CIUDAD CONSTITUCIÓN,3,3,5
3,4,CENTRO PENITENCIARIO SANTA ROSALÍA,1,3,5
4,1,"CENTRO PENITENCIARIO SAN FRANCISCO, KOBEN, CAMPECHE.",3,3,3
4,2,CENTRO PENITENCIARIO DE CD. DEL CARMEN,3,3,3
5,1,CENTRO PENITENCIARIO FEMENIL PIEDRAS NEGRAS,8,3,4
5,2,CENTRO PENITENCIARIO VARONIL PIEDRAS NEGRAS,7,3,1
5,3,CENTRO PENITENCIARIO FEMENIL SALTILLO,8,3,4
5,4,CENTRO PENITENCIARIO VARONIL SALTILLO,7,3,4
5,5,CENTRO PENITENCIARIO VARONIL TORREÓN,7,3,4
6,1,CENTRO DE REINSERCIÓN SOCIAL DE COLIMA,3,3,5
6,2,CENTRO DE REINSERCIÓN SOCIAL MANZANILLO,1,2,4
6,3,RECLUSORIO PREVENTIVO DE TECOMÁN,1,3,5
7,1,01 CHIAPA DE CORZO,1,3,3
7,2,03 TAPACHULA VARONIL,1,3,3
7,3,04 TAPACHULA FEMENIL,2,3,5
7,4,05 SAN CRISTÓBAL DE LAS CASAS,3,3,3
7,5,07 HUIXTLA,1,3,4
7,6,08 VILLAFLORES,1,3,4
7,7,10 COMITÁN,1,3,3
7,8,11 PICHUCALCO,1,3,3
7,9,12 YAJALÓN,1,3,3
7,10,13 TONALÁ,1,3,3
7,11,14 CINTALAPA,3,2,2
7,12,15 COPAINALÁ,1,3,2
7,13,16 OCOSINGO,1,3,2
7,14,17 PLAYAS DE CATAZAJÁ,1,3,2
8,1,CERESO ESTATAL NO. 1,1,2,3
8,2,CERESO ESTATAL NO. 2,1,3,2
8,3,CERESO ESTATAL NO. 3,1,2,3
8,4,CERESO ESTATAL NO. 4,1,3,3
8,5,CERESO ESTATAL NO. 5,1,3,3
8,6,CERESO ESTATAL NO. 7,1,3,3
8,7,CERESO ESTATAL NO. 8,1,3,3
8,8,CERESO FEMENIL ESTATAL NO. 1,2,2,3
8,9,CERESO FEMENIL ESTATAL NO. 2,2,3,3
9,1,RECLUSORIO PREVENTIVO VARONIL NORTE,4,2,3
9,2,RECLUSORIO PREVENTIVO VARONIL ORIENTE,4,2,3
9,3,RECLUSORIO PREVENTIVO VARONIL SUR,4,2,3
9,4,PENITENCIARÍA DE LA CDMX,7,2,3
9,5,CENTRO VARONIL DE REINSERCIÓN SOCIAL SANTA MARTHA ACATITLA,1,2,1
9,6,CENTRO VARONIL DE REHABILITACIÓN PSICOSOCIAL DE LA CDMX,17,4,3
9,7,CENTRO FEMENIL DE REINSERCIÓN SOCIAL SANTA MARTHA ACATITLA,2,1,2
9,8,CENTRO FEMENIL DE REINSERCIÓN SOCIAL TEPEPAN,2,1,3
9,9,CENTRO DE EJECUCIÓN DE SANCIONES PENALES VARONIL ORIENTE,13,3,3
9,10,CENTRO DE EJECUCIÓN DE SANCIONES PENALES VARONIL NORTE,13,3,3
9,11,CENTRO VARONIL DE SEGURIDAD PENITENCIARIA I,16,1,1
9,12,CENTRO VARONIL DE SEGURIDAD PENITENCIARIA II,16,1,1
9,13,INSTITUCIÓN ABIERTA CASA DE MEDIO CAMINO,17,5,5
10,1,CERESO NO. 1,3,2,4
10,2,CE.DI.RE.SO.  NO. 1,1,2,3
10,3,CE.DI.RE.SO.  NO. 2,3,2,1
11,1,CERESO ACÁMBARO,1,2,1
11,2,CERESO CELAYA,1,2,4
11,3,CERESO GUANAJUATO,3,2,1
11,4,CERESO IRAPUATO,1,2,5
11,5,CERESO LEÓN,3,2,5
11,6,CERESO PÉNJAMO,1,2,1
11,7,CERESO SALAMANCA,1,2,2
11,8,CERESO SAN FELIPE,1,2,4
11,9,CERESO SAN MIGUEL DE ALLENDE,1,2,1
11,10,CERESO VALLE DE SANTIAGO,3,1,5
12,1,CERESO ACAPULCO,3,2,5
12,2,CERESO CHILPANCINGO,3,2,5
12,3,CERESO IGUALA,3,2,5
12,4,CERESO TLAPA,3,2,5
12,5,CERESO LA UNIÓN,3,2,5
12,6,CERESO AYUTLA,3,3,5
12,7,CERESO COYUCA DE CATALÁN,3,3,5
12,8,CERESO CHILAPA,3,3,5
12,9,CERESO OMETEPEC,3,3,5
12,10,CERESO SAN LUIS ACATLÁN,3,3,5
12,11,CERESO TAXCO,3,3,5
12,12,CERESO TÉCPAN,3,3,5
12,13,CERESO ZIHUATANEJO,3,3,5
13,1,ACTOPAN,3,3,5
13,2,APAN,3,3,5
13,3,HUASTECA,3,2,5
13,4,HUICHAPAN,3,3,5
13,5,IXMIQUILPAN,3,3,5
13,6,JACALA,3,3,5
13,7,MIXQUIAHUALA,3,3,5
13,8,MOLANGO,3,3,5
13,9,PACHUCA,3,3,5
13,10,TENANGO,3,3,5
13,11,TULA,3,2,5
13,12,TULANCINGO,3,3,5
14,1,COMISARÍA DE PRISIÓN PREVENTIVA,4,3,4
14,2,COMISARÍA DE SENTENCIADOS,1,3,4
14,3,COMISARÍA DE REINSERCIÓN FEMENIL,2,3,4
14,4,RECLUSORIO DE PUERTO VALLARTA,6,3,4
14,5,RECLUSORIO DE CIUDAD GUZMAN,6,3,4
