entidad_a,numeral,nombre1,rensnn1,anio
1,1,CENTRO DE REINSERCION SOCIAL AGUASCALIENTES,2,NA
1,2,CENTRO DE REINSERCION SOCIAL EL LLANO,2,NA
1,3,CENTRO DE REINSERCION SOCIAL PARA MUJERES,2,NA
1,4,CENTRO DE REINSERCION SOCIAL DE MINIMA SEGURIDAD,2,NA
2,1,CENTRO DE REINSERCIÓN SOCIAL MEXICALI,9,NSS
2,2,CENTRO DE REINSERCIÓN SOCIAL TIJUANA,9,NSS
2,3,CENTRO DE REINSERCIÓN SOCIAL ENSENADA,9,NSS
2,4,CENTRO DE REINSERCIÓN SOCIAL EL HONGO,9,NSS
2,5,CENTRO DE REINSERCIÓN SOCIAL EL HONGO II,9,NSS
3,1,CENTRO PENITENCIARIO LA PAZ,2,NA
3,2,CENTRO PENITENCIARIO SAN JOSÉ DEL CABO,2,NA
3,3,CENTRO PENITENCIARIO CIUDAD CONSTITUCIÓN,2,NA
3,4,CENTRO PENITENCIARIO SANTA ROSALÍA,2,NA
4,1,"CENTRO PENITENCIARIO SAN FRANCISCO, KOBEN, CAMPECHE.",2,NA
4,2,CENTRO PENITENCIARIO DE CD. DEL CARMEN,2,NA
5,1,CENTRO PENITENCIARIO FEMENIL PIEDRAS NEGRAS,2,NA
5,2,CENTRO PENITENCIARIO VARONIL PIEDRAS NEGRAS,2,NA
5,3,CENTRO PENITENCIARIO FEMENIL SALTILLO,2,NA
5,4,CENTRO PENITENCIARIO VARONIL SALTILLO,2,NA
5,5,CENTRO PENITENCIARIO VARONIL TORREÓN,2,NA
6,1,CENTRO DE REINSERCIÓN SOCIAL DE COLIMA,2,NA
6,2,CENTRO DE REINSERCIÓN SOCIAL MANZANILLO,2,NA
6,3,RECLUSORIO PREVENTIVO DE TECOMÁN,2,NA
7,1,01 CHIAPA DE CORZO,2,NA
7,2,03 TAPACHULA VARONIL,2,NA
7,3,04 TAPACHULA FEMENIL,2,NA
7,4,05 SAN CRISTÓBAL DE LAS CASAS,2,NA
7,5,07 HUIXTLA,2,NA
7,6,08 VILLAFLORES,2,NA
7,7,10 COMITÁN,2,NA
7,8,11 PICHUCALCO,2,NA
7,9,12 YAJALÓN,2,NA
7,10,13 TONALÁ,2,NA
7,11,14 CINTALAPA,2,NA
7,12,15 COPAINALÁ,2,NA
7,13,16 OCOSINGO,2,NA
7,14,17 PLAYAS DE CATAZAJÁ,2,NA
8,1,CERESO ESTATAL NO. 1,2,NA
8,2,CERESO ESTATAL NO. 2,2,NA
8,3,CERESO ESTATAL NO. 3,2,NA
8,4,CERESO ESTATAL NO. 4,2,NA
8,5,CERESO ESTATAL NO. 5,2,NA
8,6,CERESO ESTATAL NO. 7,2,NA
8,7,CERESO ESTATAL NO. 8,2,NA
8,8,CERESO FEMENIL ESTATAL NO. 1,2,NA
8,9,CERESO FEMENIL ESTATAL NO. 2,2,NA
9,1,RECLUSORIO PREVENTIVO VARONIL NORTE,2,NA
9,2,RECLUSORIO PREVENTIVO VARONIL ORIENTE,2,NA
9,3,RECLUSORIO PREVENTIVO VARONIL SUR,2,NA
9,4,PENITENCIARÍA DE LA CDMX,2,NA
9,5,CENTRO VARONIL DE REINSERCIÓN SOCIAL SANTA MARTHA ACATITLA,2,NA
9,6,CENTRO VARONIL DE REHABILITACIÓN PSICOSOCIAL DE LA CDMX,2,NA
9,7,CENTRO FEMENIL DE REINSERCIÓN SOCIAL SANTA MARTHA ACATITLA,2,NA
9,8,CENTRO FEMENIL DE REINSERCIÓN SOCIAL TEPEPAN,2,NA
9,9,CENTRO DE EJECUCIÓN DE SANCIONES PENALES VARONIL ORIENTE,2,NA
9,10,CENTRO DE EJECUCIÓN DE SANCIONES PENALES VARONIL NORTE,2,NA
9,11,CENTRO VARONIL DE SEGURIDAD PENITENCIARIA I,1,2015
9,12,CENTRO VARONIL DE SEGURIDAD PENITENCIARIA II,1,2015
9,13,INSTITUCIÓN ABIERTA CASA DE MEDIO CAMINO,2,NA
10,1,CERESO NO. 1,1,1970
10,2,CE.DI.RE.SO.  NO. 1,1,2001
10,3,CE.DI.RE.SO.  NO. 2,1,2007
11,1,CERESO ACÁMBARO,2,NA
11,2,CERESO CELAYA,2,NA
11,3,CERESO GUANAJUATO,2,NA
11,4,CERESO IRAPUATO,2,NA
11,5,CERESO LEÓN,2,NA
11,6,CERESO PÉNJAMO,2,NA
11,7,CERESO SALAMANCA,2,NA
11,8,CERESO SAN FELIPE,2,NA
11,9,CERESO SAN MIGUEL DE ALLENDE,2,NA
11,10,CERESO VALLE DE SANTIAGO,2,NA
12,1,CERESO ACAPULCO,2,NA
12,2,CERESO CHILPANCINGO,2,NA
12,3,CERESO IGUALA,2,NA
12,4,CERESO TLAPA,2,NA
12,5,CERESO LA UNIÓN,2,NA
12,6,CERESO AYUTLA,2,NA
12,7,CERESO COYUCA DE CATALÁN,2,NA
12,8,CERESO CHILAPA,2,NA
12,9,CERESO OMETEPEC,2,NA
12,10,CERESO SAN LUIS ACATLÁN,2,NA
12,11,CERESO TAXCO,2,NA
12,12,CERESO TÉCPAN,2,NA
12,13,CERESO ZIHUATANEJO,2,NA
13,1,ACTOPAN,1,2007
13,2,APAN,2,NA
13,3,HUASTECA,1,2001
13,4,HUICHAPAN,2,NA
13,5,IXMIQUILPAN,2,NA
13,6,JACALA,2,NA
13,7,MIXQUIAHUALA,2,NA
13,8,MOLANGO,1,1990
13,9,PACHUCA,1,1975
13,10,TENANGO,1,1989
13,11,TULA,1,1996
13,12,TULANCINGO,1,1975
14,1,COMISARÍA DE PRISIÓN PREVENTIVA,1,1981
14,2,COMISARÍA DE SENTENCIADOS,1,1979
14,3,COMISARÍA DE REINSERCIÓN FEMENIL,1,1980
14,4,RECLUSORIO DE PUERTO VALLARTA,1,2000
14,5,RECLUSORIO DE CIUDAD GUZMAN,1,2000
14,6,CENTRO INTEGRAL DE JUSTICIA REGIONAL ALTOS NORTE LAGOS DE MORENO,1,2004
14,7,CENTRO INTEGRAL DE JUSTICIA REGIONAL VALLES TEQUILA,1,2003
14,8,CENTRO INTEGRAL DE JUSTICIA REGIONAL CIENEGA CHAPALA,1,2005
14,9,CENTRO INTEGRAL DE JUSTICIA REGIONAL VALLES AMECA,1,2004
14,10,CENTRO INTEGRAL DE JUSTICIA REGIONAL ALTOS SUR TEPATITLAN,1,2002
14,11,CENTRO INTEGRAL DE JUSTICIA REGIONAL COSTA SUR AUTLÁN,1,2004
14,12,COMISARÍA DEL RECLUSORIO METROPOLITANO,1,2013
15,1,CUAUTITLÁN,2,NA
15,2,CHALCO,2,NA
15,3,ECATEPEC,2,NA
15,4,EL ORO,2,NA
15,5,IXTLAHUACA,2,NA
15,6,JILOTEPEC,2,NA
15,7,LERMA,2,NA
15,8,NEZAHUALCÓYOTL BORDO,2,NA
15,9,NEZAHUALCÓYOTL NORTE,2,NA
15,10,NEZAHUALCÓYOTL SUR,2,NA
15,11,OTUMBA,2,NA
15,12,OTUMBA TEPACHICO,2,NA
15,13,SANTIAGUITO,2,NA
15,14,SULTEPEC,2,NA
15,15,TEMASCALTEPEC,2,NA
15,16,TENANCINGO,2,NA
15,17,TENANCINGO SUR,2,NA
15,18,TENANGO DEL VALLE,2,NA
15,19,TEXCOCO,2,NA
15,20,TLALNEPANTLA,2,NA
15,21,VALLE DE BRAVO,2,NA
15,22,ZUMPANGO,2,NA
15,23,PENITENCIARIA MODELO,2,NA
16,1,CENTRO PENITENCIARIO DE ALTA SEGURIDAD PARA DELITO DE ALTO IMPACTO NO1,2,NA
16,2,"CENTRO PENITENCIARIO ""LIC DAVID FRANCO RODRIGUEZ""",2,NA
16,3,"CENTRO PENITENCIARIO ""LIC EDUARDO RUIZ"" URUAPAN",2,NA
16,4,CENTRO PENITENCIARIO LA PIEDAD,2,NA
16,5,"CENTRO PENITENCIARIO ""HERMANOS LOPEZ RAYON""",2,NA
16,6,"CENTRO PENITENCIARIO ""LAZARO CARDENAS"" SAHUAYO",2,NA
16,7,CENTRO PENITENCIARIO MARAVATIO,2,NA
16,8,CENTRO PENITENCIARIO ZAMORA,2,NA
16,9,CENTRO PENITENCIARIO TACAMBARO,2,NA
16,10,CENTRO PENITENCIARIO LAZARO CARDENAS LA MIRA,2,NA
16,11,CENTRO PENITENCIARIO APATZINGAN,2,NA
17,1,CENTRO PENITENCIARIO VARONIL,2,NA
17,2,CENTRO PENITENCIARIO FEMENIL,2,NA
17,3,CENTRO PENITENCIARIO CUAUTLA,2,NA
17,4,CENTRO PENITENCIARIO JOJUTLA,2,NA
17,5,CENTRO PENITENCIARIO JONACATEPEC,2,NA
18,1,"CERESO ""VENUSTIANO CARRANZA""",2,NA
18,2,"CERESO ""BUCERIAS""",2,NA
18,3,"CERESOFE ""LA ESPERANZA""",2,NA
19,1,CERESO NO 1,2,NA
19,2,CERESO NO 2,2,NA
19,3,CERESO NO 3,2,NA
19,4,CERESO FEMENIL,2,NA
20,1,CENTRO PENITENCIARIO  DE SANTO DOMINGO TEHUANTEPEC,2,NA
20,2,CENTRO PENITENCIARIO DE SAN JUAN BAUTISTA TUXTEPEC,2,NA
20,3,CENTRO PENITENCIARIO DE VILLA DE ETLA,2,NA
20,4,CENTRO PENITENCIARIO DE SANTA MARÍA IXCOTEL,2,NA
20,5,CENTRO PENITENCIARIO DE SAN JUAN BAUTISTA CUICATLÁN,1,2001
20,6,CENTRO PENITENCIARO DE MIAHUATLÁN DE PORFIRIO DÍAZ,2,NA
20,7,CENTRO PENITENCIARIO DE SANTA CATARINA JUQUILA,2,NA
20,8,CENTRO PENITENCIARIO DE SAN PEDRO POCHUTLA,1,1977
20,9,CENTRO PENITENCIARIO DE SAN FRANCISCO TANIVET VARONIL,2,NA
20,10,CENTRO PENITENCIARIO DE SAN FRANCISCO TANIVET FEMENIL,2,NA
20,11,CENTRO PENITENCIARIO PARA PERSONAS CON PROBLEMAS PSIQUIÁTRICOS,2,NA
21,1,CENTRO PENITENCIARIO DE PUEBLA,2,NA
21,2,CENTRO PENITENCIARIO DE TEPEXI DE RODRÍGUEZ,2,NA
21,3,CENTRO PENITENCIARIO DE CIUDAD SERDÁN,2,NA
22,1,CENTRO PENITENCIARIO CP1 VARONIL,2,NA
22,2,CENTRO PENITENCIARIO CP2F FEMENIL,2,NA
22,3,CENTRO PENITENCIARIO CP3 VARONIL,2,NA
22,4,CENTRO PENITENCIARIO CP4,2,NA
23,1,CERESO DE CANCÚN,1,2009
23,2,CERESO DE CHETUMAL,1,1978
23,3,CERESO DE COZUMEL,1,1989
24,1,CENTRO PENITENCIARIO ESTATAL DE SAN LUIS POTOSÍ,2,NA
24,2,CENTRO PENITENCIARIO ESTATAL DE MATEHUALA,2,NA
24,3,CENTRO PENITENCIARIO ESTATAL DE CIUDAD VALLES,2,NA
24,4,CENTRO PENITENCIARIO ESTATAL DE RIOVERDE,2,NA
24,5,CENTRO PENITENCIARIO ESTATAL DE TAMAZUNCHALE,2,NA
24,6,CENTRO PENITENCIARIO ESTATAL DE TANCANHUITZ,2,NA
25,1,"CENTRO PENITENCIARIO ""AGUARUTO""",2,NA
25,2,"CENTRO PENITENCIARIO ""EL CASTILLO""",2,NA
25,3,"CENTRO PENITENCIARIO ""GOROS II""",2,NA
25,4,"CENTRO PENITENCIARIO ""REGIÓN DEL ÉVORA""",2,NA
26,1,"""AGUA PRIETA""",2,NA
26,2,"""CABORCA""",2,NA
26,3,"""CD. OBREGON""",2,NA
26,4,"""GUAYMAS""",2,NA
26,5,"""HERMOSILLO I""",2,NA
26,6,"""HERMOSILLO II""",2,NA
26,7,"""HUATABAMPO""",2,NA
26,8,"""MAGDALENA""",2,NA
26,9,"""NOGALES FEMENIL""",2,NA
26,10,"""NOGALES VARONIL""",2,NA
26,11,"""PUERTO PEÑASCO""",2,NA
26,12,"""SAN LUIS RIO COLORADO""",2,NA
26,13,"""NAVOJOA""",2,NA
27,1,CENTRO DE REINSERCIÓN SOCIAL DE TABASCO,2,NA
27,2,CENTRO DE REINSERCIÓN SOCIAL DE CÁRDENAS,2,NA
27,3,CENTRO DE REINSERCIÓN SOCIAL DE COMALCALCO,2,NA
27,4,CENTRO DE REINSERCIÓN SOCIAL DE HUIMANGUILLO,2,NA
27,5,CENTRO DE REINSERCIÓN SOCIAL DE MACUSPANA,2,NA
27,6,CENTRO DE REINSERCIÓN SOCIAL DE TENOSIQUE,2,NA
27,7,CENTRO PENITENCIARIO REGIONAL DE CUNDUACÁN,2,NA
27,8,CENTRO PENITENCIARIO REGIONAL DE TACOTALPA,2,NA
28,1,ALTAMIRA,2,NA
28,2,LAREDO,2,NA
28,3,TULA,2,NA
28,4,VICTORIA,2,NA
28,5,REYNOSA,2,NA
28,6,MATAMOROS,2,NA
28,7,JAUMAVE,2,NA
29,1,CERESO TLAXCALA,2,NA
29,2,CERESO REGIONAL APIZACO,2,NA
29,3,CERESO FEMENIL TLAXCALA,2,NA
30,1,ACAYUCAN,2,NA
30,2,AMATLAN,2,NA
30,3,CHICONTEPEC,2,NA
30,4,COATZACOALCOS,2,NA
30,5,COSAMALOAPAN,2,NA
30,6,HUAYACOCOTLA,2,NA
30,7,JALACINGO,2,NA
30,8,MISANTLA,2,NA
30,9,OZULUAMA,2,NA
30,10,PACHO VIEJO,2,NA
30,11,PANUCO,2,NA
30,12,PAPANTLA,2,NA
30,13,POZA RICA,2,NA
