"P3_19","descrip"
"01
","A la Agencia del Ministerio Público"
"02
","Con un Juez de lo penal"
"03
","A una instalación de la policía distinta a una Agencia del Ministerio Público (barandilla, comisaría, comandancia, C4, etc.)"
"04
","A un centro de arraigo"
"05
","A un Centro penitenciario"
"06
","A una oficina del gobierno distinta a una Agencia del Ministerio Público (presidencia municipal, regiduría, etc.)"
"07
","A una casa particular"
"08
","A un establecimiento comercial (tienda, restaurante, hotel, etc.)"
"09
","Lo(a) mantuvieron en un vehículo"
"10
","A un terreno baldío"
"11
","Zona militar (cuartel de la Marina o cuartel militar)"
"12
","Centro de detención para migrantes"
"13
","Hospital, clínica o centro de salud"
"14
","Otro"
"98
","No sabe"
"99
","No responde"
