"R2_10_X","descrip"
"01
","Funcionarios, directores y jefes"
"02
","Profesionistas y técnicos"
"03
","Trabajadores auxiliares en actividades administrativas"
"04
","Comerciantes, empleados en ventas y agentes de ventas"
"05
","Trabajadores en servicios personales y de vigilancia"
"06
","Trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca"
"07
","Trabajadores artesanales, en la construcción y otros oficios"
"08
","Operadores de maquinaria industrial, ensambladores, choferes y conductores de transporte"
"09
","Trabajadores en actividades elementales y de apoyo"
"10
","Actividades delictivas"
"97
","No trabajaba"
"99
","No sabe / no responde"
