"R7_23X","descrip"
"01
","Carpintería"
"02
","Artesanías y manualidades"
"03
","Gastronomía"
"04
","Maquila"
"05
","Artes plásticas (pintura, escultura, dibujo, arquitectura, grabado, cerámica, orfebrería y pintura mural)"
"06
","Belleza"
"07
","Electrónica"
"08
","Computación e informática"
"09
","Herrería y soldadura"
"10
","Electricidad y plomería"
"11
","Mecánica automotriz"
"12
","Arte y cultura"
"13
","Idiomas"
"14
","Agrícolas y agropecuarias"
"15
","Otro tipo de talleres (desarrollo humano, psicología)"
"16
","Otro"
"96
","No especificado"
"97
","Ninguno"
"98
","No sabe"
"99
","No responde"
