"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador del informante seleccionado","ID_PER","Numérico","9","0101.0001…3204.026
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","01
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","02
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","03
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","04
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","05
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","06
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","07
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","08
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","09
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","10
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","11
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","12
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","13
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","14
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","15
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","16
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","17
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","18
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","19
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","20
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","21
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","22
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","23
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","24
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","25
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","26
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","27
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","28
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","29
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","30
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","31
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","32
"
"Nombre de la Entidad","NOM_ENT","Alfanumérico","250","Catálogo de Entidades
"
"Centro Penitenciario de Interés","CEN_INT","Numérico","2","01…54
"
"Nombre del Centro Penitenciario de Interés","NOM_INT","Alfanumérico","250","Catálogo de Centros de Interés
"
"Resultado de la Entrevista","COD_RES","Numérico","2","01
"
"Condición biológica: hombres o mujeres","SEXO","Numérico","1","1
"
"Condición biológica: hombres o mujeres","SEXO","Numérico","1","2
"
"Jurisdicción estatal o federal","FUERO","Numérico","1","1
"
"Jurisdicción estatal o federal","FUERO","Numérico","1","2
"
"Separación de la población por situación jurídica","P7_1","Numérico","1","1
"
"Separación de la población por situación jurídica","P7_1","Numérico","1","2
"
"Separación de la población por situación jurídica","P7_1","Numérico","1","8
"
"Separación de la población por situación jurídica","P7_1","Numérico","1","9
"
"Tiempo en horas que permanece en su celda","P7_2","Numérico","2","00…24
"
"Tiempo en horas que permanece en su celda","P7_2","Numérico","2","98
"
"Tiempo en horas que permanece en su celda","P7_2","Numérico","2","99
"
"Plan para organizar tiempos y actividades en el centro penitenciario","P7_3","Numérico","1","1
"
"Plan para organizar tiempos y actividades en el centro penitenciario","P7_3","Numérico","1","2
"
"Plan para organizar tiempos y actividades en el centro penitenciario","P7_3","Numérico","1","8
"
"Plan para organizar tiempos y actividades en el centro penitenciario","P7_3","Numérico","1","9
"
"Plan para organizar tiempos y actividades: fue voluntario","P7_4_1","Numérico","1","1
"
"Plan para organizar tiempos y actividades: fue voluntario","P7_4_1","Numérico","1","2
"
"Plan para organizar tiempos y actividades: fue voluntario","P7_4_1","Numérico","1","8
"
"Plan para organizar tiempos y actividades: fue voluntario","P7_4_1","Numérico","1","9
"
"Plan para organizar tiempos y actividades: actividades educativas","P7_4_2","Numérico","1","1
"
"Plan para organizar tiempos y actividades: actividades educativas","P7_4_2","Numérico","1","2
"
"Plan para organizar tiempos y actividades: actividades educativas","P7_4_2","Numérico","1","8
"
"Plan para organizar tiempos y actividades: actividades educativas","P7_4_2","Numérico","1","9
"
"Plan para organizar tiempos y actividades: actividades de trabajo","P7_4_3","Numérico","1","1
"
"Plan para organizar tiempos y actividades: actividades de trabajo","P7_4_3","Numérico","1","2
"
"Plan para organizar tiempos y actividades: actividades de trabajo","P7_4_3","Numérico","1","8
"
"Plan para organizar tiempos y actividades: actividades de trabajo","P7_4_3","Numérico","1","9
"
"Plan para organizar tiempos y actividades: actividades culturales","P7_4_4","Numérico","1","1
"
"Plan para organizar tiempos y actividades: actividades culturales","P7_4_4","Numérico","1","2
"
"Plan para organizar tiempos y actividades: actividades culturales","P7_4_4","Numérico","1","8
"
"Plan para organizar tiempos y actividades: actividades culturales","P7_4_4","Numérico","1","9
"
"Plan para organizar tiempos y actividades: atención a la salud","P7_4_5","Numérico","1","1
"
"Plan para organizar tiempos y actividades: atención a la salud","P7_4_5","Numérico","1","2
"
"Plan para organizar tiempos y actividades: atención a la salud","P7_4_5","Numérico","1","8
"
"Plan para organizar tiempos y actividades: atención a la salud","P7_4_5","Numérico","1","9
"
"Plan para organizar tiempos y actividades: revisión por parte de la autoridad","P7_4_6","Numérico","1","1
"
"Plan para organizar tiempos y actividades: revisión por parte de la autoridad","P7_4_6","Numérico","1","2
"
"Plan para organizar tiempos y actividades: revisión por parte de la autoridad","P7_4_6","Numérico","1","8
"
"Plan para organizar tiempos y actividades: revisión por parte de la autoridad","P7_4_6","Numérico","1","9
"
"Espacio o equipamiento para ejercicio físico","P7_5","Numérico","1","1
"
"Espacio o equipamiento para ejercicio físico","P7_5","Numérico","1","2
"
"Espacio o equipamiento para ejercicio físico","P7_5","Numérico","1","8
"
"Espacio o equipamiento para ejercicio físico","P7_5","Numérico","1","9
"
"Disponibilidad de material de lectura","P7_6","Numérico","1","1
"
"Disponibilidad de material de lectura","P7_6","Numérico","1","2
"
"Disponibilidad de material de lectura","P7_6","Numérico","1","8
"
"Disponibilidad de material de lectura","P7_6","Numérico","1","9
"
"Disponibilidad de comedor","P7_7","Numérico","1","1
"
"Disponibilidad de comedor","P7_7","Numérico","1","2
"
"Disponibilidad de comedor","P7_7","Numérico","1","8
"
"Disponibilidad de comedor","P7_7","Numérico","1","9
"
"Satisfacción con los espacios para realizar actividades que tiene en el Centro penitenciario","P7_8","Numérico","1","1
"
"Satisfacción con los espacios para realizar actividades que tiene en el Centro penitenciario","P7_8","Numérico","1","2
"
"Satisfacción con los espacios para realizar actividades que tiene en el Centro penitenciario","P7_8","Numérico","1","3
"
"Satisfacción con los espacios para realizar actividades que tiene en el Centro penitenciario","P7_8","Numérico","1","4
"
"Satisfacción con los espacios para realizar actividades que tiene en el Centro penitenciario","P7_8","Numérico","1","8
"
"Satisfacción con los espacios para realizar actividades que tiene en el Centro penitenciario","P7_8","Numérico","1","9
"
"Realización de otras actividades de esparcimiento","P7_9","Numérico","1","1
"
"Realización de otras actividades de esparcimiento","P7_9","Numérico","1","2
"
"Realización de otras actividades de esparcimiento","P7_9","Numérico","1","8
"
"Realización de otras actividades de esparcimiento","P7_9","Numérico","1","9
"
"Realización de actividades religiosas","P7_10","Numérico","1","1
"
"Realización de actividades religiosas","P7_10","Numérico","1","2
"
"Realización de actividades religiosas","P7_10","Numérico","1","8
"
"Realización de actividades religiosas","P7_10","Numérico","1","9
"
"Permiso para realizar llamadas telefónicas","P7_11","Numérico","1","1
"
"Permiso para realizar llamadas telefónicas","P7_11","Numérico","1","2
"
"Permiso para realizar llamadas telefónicas","P7_11","Numérico","1","8
"
"Permiso para realizar llamadas telefónicas","P7_11","Numérico","1","9
"
"Frecuencia de llamadas","P7_12","Numérico","2","01
"
"Frecuencia de llamadas","P7_12","Numérico","2","02
"
"Frecuencia de llamadas","P7_12","Numérico","2","03
"
"Frecuencia de llamadas","P7_12","Numérico","2","04
"
"Frecuencia de llamadas","P7_12","Numérico","2","05
"
"Frecuencia de llamadas","P7_12","Numérico","2","06
"
"Frecuencia de llamadas","P7_12","Numérico","2","07
"
"Frecuencia de llamadas","P7_12","Numérico","2","08
"
"Frecuencia de llamadas","P7_12","Numérico","2","98
"
"Frecuencia de llamadas","P7_12","Numérico","2","99
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","01
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","02
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","03
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","04
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","05
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","06
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","07
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","08
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","09
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","10
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","11
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","12
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","13
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","14
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","00
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","97
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","98
"
"Actividades de trabajo que realiza para obtener un pago o beneficio","R7_13X","Numérico","2","99
"
"Días laborales por semana","P7_14_D","Numérico","2","01…07
"
"Días laborales por semana","P7_14_D","Numérico","2","98
"
"Días laborales por semana","P7_14_D","Numérico","2","99
"
"Horas al día que dedica a realizar actividades laborales","P7_14_H","Numérico","2","01…23
"
"Horas al día que dedica a realizar actividades laborales","P7_14_H","Numérico","2","98
"
"Horas al día que dedica a realizar actividades laborales","P7_14_H","Numérico","2","99
"
"Monto semanal de remuneración por actividades laborales","P7_15","Numérico","8","00,000,001…99,999,997
"
"Monto semanal de remuneración por actividades laborales","P7_15","Numérico","8","00,000,000
"
"Monto semanal de remuneración por actividades laborales","P7_15","Numérico","8","99999998
"
"Monto semanal de remuneración por actividades laborales","P7_15","Numérico","8","99999999
"
"Otro beneficio por la actividad laboral","P7_16","Numérico","1","1
"
"Otro beneficio por la actividad laboral","P7_16","Numérico","1","2
"
"Otro beneficio por la actividad laboral","P7_16","Numérico","1","8
"
"Otro beneficio por la actividad laboral","P7_16","Numérico","1","9
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Carta de buena conducta","P7_17_01","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Carta de buena conducta","P7_17_01","Numérico","1","1
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Cigarros","P7_17_02","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Cigarros","P7_17_02","Numérico","1","1
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Comida","P7_17_03","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Comida","P7_17_03","Numérico","1","1
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Facilidades para visitas","P7_17_04","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Facilidades para visitas","P7_17_04","Numérico","1","1
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Reducción de condena","P7_17_05","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Reducción de condena","P7_17_05","Numérico","1","1
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Artículos de aseo y limpieza personal","P7_17_06","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Artículos de aseo y limpieza personal","P7_17_06","Numérico","1","1
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Derecho a que venda los productos","P7_17_07","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Derecho a que venda los productos","P7_17_07","Numérico","1","1
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Otro","P7_17_08","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: Otro","P7_17_08","Numérico","1","1
"
"Tipo de beneficios, además del dinero, por la actividad laboral: No sabe","P7_17_98","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: No sabe","P7_17_98","Numérico","1","1
"
"Tipo de beneficios, además del dinero, por la actividad laboral: No responde","P7_17_99","Numérico","1","0
"
"Tipo de beneficios, además del dinero, por la actividad laboral: No responde","P7_17_99","Numérico","1","1
"
"Condición de estar inscrito en un programa educativo.","P7_18","Numérico","1","1
"
"Condición de estar inscrito en un programa educativo.","P7_18","Numérico","1","2
"
"Condición de estar inscrito en un programa educativo.","P7_18","Numérico","1","8
"
"Condición de estar inscrito en un programa educativo.","P7_18","Numérico","1","9
"
"Nivel escolar que cursa","P7_19","Numérico","1","1
"
"Nivel escolar que cursa","P7_19","Numérico","1","2
"
"Nivel escolar que cursa","P7_19","Numérico","1","3
"
"Nivel escolar que cursa","P7_19","Numérico","1","4
"
"Nivel escolar que cursa","P7_19","Numérico","1","5
"
"Nivel escolar que cursa","P7_19","Numérico","1","8
"
"Nivel escolar que cursa","P7_19","Numérico","1","9
"
"Razón para no estar inscrito en un programa educativo","P7_20","Numérico","2","01
"
"Razón para no estar inscrito en un programa educativo","P7_20","Numérico","2","02
"
"Razón para no estar inscrito en un programa educativo","P7_20","Numérico","2","03
"
"Razón para no estar inscrito en un programa educativo","P7_20","Numérico","2","04
"
"Razón para no estar inscrito en un programa educativo","P7_20","Numérico","2","05
"
"Razón para no estar inscrito en un programa educativo","P7_20","Numérico","2","06
"
