"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Identificador del informante seleccionado","ID_PER","Numérico","9","0101.0001…3204.026
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","01
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","02
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","03
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","04
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","05
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","06
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","07
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","08
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","09
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","10
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","11
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","12
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","13
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","14
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","15
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","16
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","17
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","18
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","19
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","20
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","21
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","22
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","23
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","24
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","25
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","26
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","27
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","28
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","29
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","30
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","31
"
"Clave de Entidad","CVE_ENT","Alfanumérico","2","32
"
"Nombre de la Entidad","NOM_ENT","Alfanumérico","250","Catálogo de Entidades
"
"Centro Penitenciario de Interés","CEN_INT","Numérico","2","01…54
"
"Nombre del Centro Penitenciario de Interés","NOM_INT","Alfanumérico","250","Catálogo de Centros de Interés
"
"Resultado de la Entrevista","COD_RES","Numérico","2","01
"
"Condición biológica: hombres o mujeres","SEXO","Numérico","1","1
"
"Condición biológica: hombres o mujeres","SEXO","Numérico","1","2
"
"Jurisdicción estatal o federal","FUERO","Numérico","1","1
"
"Jurisdicción estatal o federal","FUERO","Numérico","1","2
"
"Entidad en que vivía antes de la detención","P2_1","Numérico","2","01…32
"
"Entidad en que vivía antes de la detención","P2_1","Numérico","2","98
"
"Entidad en que vivía antes de la detención","P2_1","Numérico","2","99
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","01
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","02
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","03
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","04
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","05
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","06
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","07
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","08
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","09
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","10
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","98
"
"Lugar o tipo de vivienda en que vivía la semana previa a su detención","P2_2","Numérico","2","99
"
"Vivía solo(a)","P2_3_01","Numérico","1","0
"
"Vivía solo(a)","P2_3_01","Numérico","1","1
"
"Vivía con su esposo(a), pareja, novio(a)","P2_3_02","Numérico","1","0
"
"Vivía con su esposo(a), pareja, novio(a)","P2_3_02","Numérico","1","1
"
"Vivía con su madre","P2_3_03","Numérico","1","0
"
"Vivía con su madre","P2_3_03","Numérico","1","1
"
"Vivía con su padre","P2_3_04","Numérico","1","0
"
"Vivía con su padre","P2_3_04","Numérico","1","1
"
"Vivía con sus hermanos","P2_3_05","Numérico","1","0
"
"Vivía con sus hermanos","P2_3_05","Numérico","1","1
"
"Vivía con sus abuelos","P2_3_06","Numérico","1","0
"
"Vivía con sus abuelos","P2_3_06","Numérico","1","1
"
"Vivía con sus hijo(a)s","P2_3_07","Numérico","1","0
"
"Vivía con sus hijo(a)s","P2_3_07","Numérico","1","1
"
"Vivía con otros familiares","P2_3_08","Numérico","1","0
"
"Vivía con otros familiares","P2_3_08","Numérico","1","1
"
"Vivía con amigo(s)","P2_3_09","Numérico","1","0
"
"Vivía con amigo(s)","P2_3_09","Numérico","1","1
"
"Vivía con otra persona","P2_3_10","Numérico","1","0
"
"Vivía con otra persona","P2_3_10","Numérico","1","1
"
"No sabe con quién vivía","P2_3_98","Numérico","1","0
"
"No sabe con quién vivía","P2_3_98","Numérico","1","1
"
"No responde con quién vivía","P2_3_99","Numérico","1","0
"
"No responde con quién vivía","P2_3_99","Numérico","1","1
"
"Manutención económica","P2_4","Numérico","1","1
"
"Manutención económica","P2_4","Numérico","1","2
"
"Manutención económica","P2_4","Numérico","1","8
"
"Manutención económica","P2_4","Numérico","1","9
"
"Cantidad de dependientes económicos","P2_5","Numérico","2","01…97
"
"Cantidad de dependientes económicos","P2_5","Numérico","2","98
"
"Cantidad de dependientes económicos","P2_5","Numérico","2","99
"
"Trabajo remunerado","P2_6","Numérico","1","1
"
"Trabajo remunerado","P2_6","Numérico","1","2
"
"Trabajo remunerado","P2_6","Numérico","1","8
"
"Trabajo remunerado","P2_6","Numérico","1","9
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Municipal","P2_7_1","Numérico","1","1
"
"Prestó servicio en Seguridad Pública, Fuerzas Armadas o seguridad privada: Policía Municipal","P2_7_1","Numérico","1","2
"
